core_city,country,orientation_entropy,prop_4way,prop_deadend,straightness,k_avg,node_count
chicago,united_states,2.469323065444404,0.3488178114272882,0.1144653684514452,0.962121306676868,3.116935613230246,93513
detroit,united_states,2.8852781988846203,0.3501510159253158,0.0822521965952773,0.9698485207687284,3.172672981878089,58272
houston,united_states,3.1387152111652625,0.271130513198885,0.1529963928512871,0.9459794953164125,2.95814887686506,97584
beijing,china,3.16264028409747,0.2369302128076565,0.1411096049257704,0.948813243605527,2.9611131979944143,61229
buenos_aires,argentina,3.176154012142175,0.5150416555288247,0.0524982179452909,0.9907527349105616,3.4150962309542905,179568
melbourne,australia,3.234837914473966,0.0909989356849627,0.1558599527278256,0.9578878524634452,2.7730244516013105,144694
brasilia,brazil,3.3901073232294907,0.0691139396175367,0.1286662977310459,0.954777047120442,2.794072434360204,32526
jakarta,indonesia,3.425547902145216,0.0832216532256703,0.2833057086820172,0.9321390076225596,2.511975370738574,592466
philadelphia,united_states,3.42713051864262,0.3296338412554014,0.0743234023197634,0.9667157937980144,3.173754832840573,43970
osaka,japan,3.456584877585016,0.1680395666053981,0.1518017800135435,0.9476411121856314,2.866735996904324,413480
mexico_city,mexico,3.4629066912963617,0.1861402095084609,0.2224510685429299,0.9660076803880462,2.741723420208513,321419
north_canberra_canberra,australia,3.479978372756986,0.1880387931034483,0.0765086206896551,0.9369973067917046,2.9601293103448274,1856
cairo,egypt,3.487779998190392,0.1037149638637757,0.1654199002586873,0.9721287597843216,2.768574819318879,299976
mumbai,india,3.509119813453032,0.1606683495612453,0.2060343791321072,0.9456219538104949,2.7503786512802018,41595
cape_town,south_africa,3.5369644301536627,0.1636806088618138,0.167779973541949,0.9173405126524596,2.8226820624214017,61229
barcelona,spain,3.546918582249816,0.2204988245467073,0.0748236820061069,0.9492126308231842,3.0661766692787853,37007
washington,united_states,3.548967084812309,0.2133540573797034,0.2038339485784599,0.9329211427691976,2.7995337089566736,77205
new_york_city,united_states,3.5530279357844003,0.2828775697554733,0.1172559601635741,0.9646255626552868,3.0489887890505467,179735
amsterdam,netherlands,3.5539210401463075,0.1742660836976889,0.1601733291692692,0.9230417451993984,2.850249843847595,25616
seoul,south_korea,3.561342016563975,0.2151347576357909,0.1024115274432393,0.9499572247709672,3.019982041816912,140326
nairobi,kenya,3.5659486863323684,0.0647253826635016,0.2514119669313252,0.9469229466834184,2.5483342882868136,48868
london,united_kingdom,3.56872944783184,0.0613125845737483,0.2603653585926928,0.9418651323911532,2.5321650879566984,147800
berlin,germany,3.571518995621029,0.2542676211453744,0.119527808370044,0.9602493623067168,3.0053001101321586,29056
tokyo,japan,3.57217005518538,0.1608561825979698,0.1469791442700494,0.949935929366616,2.867104980253256,883690
istanbul,turkey,3.5757297121296765,0.1797556719022687,0.0724507604088755,0.9539755284165784,3.0395038643729744,160440
singapore,singapore,3.575823416112769,0.201846452866861,0.1098639455782312,0.9366899473595154,2.974344023323616,20580
moscow,russia,3.578339896333695,0.1504265980498375,0.1087147887323943,0.945001447920724,2.9155606717226434,29536
rome,italy,3.5788048458757458,0.1448497854077253,0.1515855984740104,0.9400901358353022,2.837625178826896,33552
paris,france,3.580839399124361,0.1396734484527269,0.1376474611044623,0.95436028590237,2.8641990083775006,116980
sao_paulo,brazil,3.5816917810185847,0.1573244415953462,0.1170485043031483,0.9534560371639216,2.923059995311745,209033
