bin_deg,length_weight
0.0,1.4289684530727396
5.0,1.5593979024189326
10.0,1.1361005340640054
15.0,0.9484937245005292
20.0,1.058523130887588
25.0,1.068922212194996
30.0,0.8332383518841802
35.0,0.7918885800788122
40.0,0.8014790487257296
45.0,0.8906549719738728
50.0,0.9640310680104888
55.0,0.719194688713766
60.0,0.6083143949258573
65.0,0.8057994814647064
70.0,0.7097550288361185
75.0,0.6837702139550751
80.0,1.2544361060241798
85.0,2.573973180969799
90.0,1.1613364262514996
95.0,1.4442221830840787
100.0,1.208417903692343
105.0,0.940391628592876
110.0,0.9857427157160962
115.0,0.951584304687537
120.0,0.7152915384197825
125.0,0.7672289792309204
130.0,0.6861548023297392
135.0,0.8687501557522657
140.0,1.078911574303782
145.0,0.8210211907216595
150.0,0.5950273886769715
155.0,0.7219831988018677
160.0,0.7189364226908346
165.0,0.7543320148940132
170.0,1.1784427361144507
175.0,2.2253290947551725
