day,complaint_type,n
2024-04-09T00:00:00.000,Noise - Street/Sidewalk,507
2024-04-09T00:00:00.000,Rodent,123
2024-04-09T00:00:00.000,Street Condition,400
2024-04-10T00:00:00.000,Blocked Driveway,477
2024-04-10T00:00:00.000,Damaged Tree,51
2024-04-10T00:00:00.000,Dead/Dying Tree,34
2024-04-10T00:00:00.000,Dirty Condition,164
2024-04-10T00:00:00.000,HEAT/HOT WATER,371
2024-04-10T00:00:00.000,Illegal Fireworks,49
2024-04-10T00:00:00.000,Illegal Parking,1486
2024-04-10T00:00:00.000,Noise - Residential,681
2024-04-10T00:00:00.000,Noise - Street/Sidewalk,316
2024-04-10T00:00:00.000,Rodent,125
2024-04-10T00:00:00.000,Street Condition,368
2024-04-11T00:00:00.000,Blocked Driveway,466
2024-04-11T00:00:00.000,Damaged Tree,51
2024-04-11T00:00:00.000,Dead/Dying Tree,22
2024-04-11T00:00:00.000,Dirty Condition,138
2024-04-11T00:00:00.000,Illegal Parking,1488
2024-04-11T00:00:00.000,Noise - Residential,571
2024-04-11T00:00:00.000,Noise - Street/Sidewalk,140
2024-04-11T00:00:00.000,Rodent,115
2024-04-11T00:00:00.000,Street Condition,293
2024-04-12T00:00:00.000,Blocked Driveway,505
2024-04-12T00:00:00.000,Damaged Tree,154
2024-04-12T00:00:00.000,Dead/Dying Tree,38
2024-04-12T00:00:00.000,Dirty Condition,118
2024-04-12T00:00:00.000,Illegal Fireworks,13
2024-04-12T00:00:00.000,Illegal Parking,1415
2024-04-12T00:00:00.000,Noise - Residential,646
2024-04-12T00:00:00.000,Noise - Street/Sidewalk,277
2024-04-12T00:00:00.000,Rodent,101
2024-04-12T00:00:00.000,Street Condition,316
2024-04-13T00:00:00.000,Blocked Driveway,441
2024-04-13T00:00:00.000,Damaged Tree,130
2024-04-13T00:00:00.000,Dead/Dying Tree,15
2024-04-13T00:00:00.000,Dirty Condition,103
2024-04-13T00:00:00.000,Illegal Fireworks,9
2024-04-13T00:00:00.000,Illegal Parking,1323
2024-04-13T00:00:00.000,Noise - Residential,1057
2024-04-13T00:00:00.000,Noise - Street/Sidewalk,300
2024-04-13T00:00:00.000,Rodent,88
2024-04-13T00:00:00.000,Street Condition,205
2024-04-14T00:00:00.000,Blocked Driveway,529
2024-04-14T00:00:00.000,Damaged Tree,63
2024-04-14T00:00:00.000,Dead/Dying Tree,18
2024-04-14T00:00:00.000,Dirty Condition,117
2024-04-14T00:00:00.000,Illegal Fireworks,8
2024-04-14T00:00:00.000,Illegal Parking,1471
2024-04-14T00:00:00.000,Noise - Residential,1256
2024-04-14T00:00:00.000,Noise - Street/Sidewalk,601
2024-04-14T00:00:00.000,Rodent,100
2024-04-14T00:00:00.000,Street Condition,169
2024-04-15T00:00:00.000,Blocked Driveway,467
2024-04-15T00:00:00.000,Damaged Tree,80
2024-04-15T00:00:00.000,Dead/Dying Tree,48
2024-04-15T00:00:00.000,Dirty Condition,165
2024-04-15T00:00:00.000,HEAT/HOT WATER,2386
2024-04-15T00:00:00.000,Illegal Fireworks,1
2024-04-15T00:00:00.000,Illegal Parking,1643
2024-04-15T00:00:00.000,Noise - Residential,706
2024-04-15T00:00:00.000,Noise - Street/Sidewalk,564
2024-04-15T00:00:00.000,Rodent,153
2024-04-15T00:00:00.000,Street Condition,383
2024-04-16T00:00:00.000,Blocked Driveway,439
2024-04-16T00:00:00.000,Damaged Tree,74
2024-04-16T00:00:00.000,Dead/Dying Tree,41
2024-04-16T00:00:00.000,Dirty Condition,156
2024-04-16T00:00:00.000,HEAT/HOT WATER,368
2024-04-16T00:00:00.000,Illegal Fireworks,2
2024-04-16T00:00:00.000,Illegal Parking,1569
2024-04-16T00:00:00.000,Noise - Residential,685
2024-04-16T00:00:00.000,Noise - Street/Sidewalk,418
2024-04-16T00:00:00.000,Rodent,146
2024-04-16T00:00:00.000,Street Condition,389
2024-04-17T00:00:00.000,Blocked Driveway,433
2024-04-17T00:00:00.000,Damaged Tree,51
2024-04-17T00:00:00.000,Dead/Dying Tree,43
2024-04-17T00:00:00.000,Dirty Condition,114
2024-04-17T00:00:00.000,HEAT/HOT WATER,447
2024-04-17T00:00:00.000,Illegal Fireworks,3
2024-04-17T00:00:00.000,Illegal Parking,1463
2024-04-17T00:00:00.000,Noise - Residential,619
2024-04-17T00:00:00.000,Noise - Street/Sidewalk,237
2024-04-17T00:00:00.000,Rodent,143
2024-04-17T00:00:00.000,Street Condition,344
2024-04-18T00:00:00.000,Blocked Driveway,438
2024-04-18T00:00:00.000,Damaged Tree,42
2024-04-18T00:00:00.000,Dead/Dying Tree,45
2024-04-18T00:00:00.000,Dirty Condition,122
2024-04-18T00:00:00.000,HEAT/HOT WATER,947
2024-04-18T00:00:00.000,Illegal Fireworks,3
2024-04-18T00:00:00.000,Illegal Parking,1371
2024-04-18T00:00:00.000,Noise - Residential,613
2024-04-18T00:00:00.000,Noise - Street/Sidewalk,179
2024-04-18T00:00:00.000,Rodent,135
2024-04-18T00:00:00.000,Street Condition,366
2024-04-19T00:00:00.000,Blocked Driveway,427
2024-04-19T00:00:00.000,Damaged Tree,43
2024-04-19T00:00:00.000,Dead/Dying Tree,29
2024-04-19T00:00:00.000,Dirty Condition,144
2024-04-19T00:00:00.000,HEAT/HOT WATER,604
2024-04-19T00:00:00.000,Illegal Fireworks,4
2024-04-19T00:00:00.000,Illegal Parking,1671
2024-04-19T00:00:00.000,Noise - Residential,749
2024-04-19T00:00:00.000,Noise - Street/Sidewalk,262
2024-04-19T00:00:00.000,Rodent,166
2024-04-19T00:00:00.000,Street Condition,265
2024-04-20T00:00:00.000,Blocked Driveway,392
2024-04-20T00:00:00.000,Damaged Tree,30
2024-04-20T00:00:00.000,Dead/Dying Tree,21
2024-04-20T00:00:00.000,Dirty Condition,103
2024-04-20T00:00:00.000,HEAT/HOT WATER,400
2024-04-20T00:00:00.000,Illegal Fireworks,1
2024-04-20T00:00:00.000,Illegal Parking,1246
2024-04-20T00:00:00.000,Noise - Residential,1319
2024-04-20T00:00:00.000,Noise - Street/Sidewalk,455
2024-04-20T00:00:00.000,Rodent,76
2024-04-20T00:00:00.000,Street Condition,179
2024-04-21T00:00:00.000,Blocked Driveway,402
2024-04-21T00:00:00.000,Damaged Tree,23
2024-04-21T00:00:00.000,Dead/Dying Tree,10
2024-04-21T00:00:00.000,Dirty Condition,98
2024-04-21T00:00:00.000,HEAT/HOT WATER,687
2024-04-21T00:00:00.000,Illegal Fireworks,1
2024-04-21T00:00:00.000,Illegal Parking,1438
2024-04-21T00:00:00.000,Noise - Residential,1239
2024-04-21T00:00:00.000,Noise - Street/Sidewalk,342
2024-04-21T00:00:00.000,Rodent,84
2024-04-21T00:00:00.000,Street Condition,191
2024-04-22T00:00:00.000,Blocked Driveway,390
2024-04-22T00:00:00.000,Damaged Tree,47
2024-04-22T00:00:00.000,Dead/Dying Tree,36
2024-04-22T00:00:00.000,Dirty Condition,151
2024-04-22T00:00:00.000,HEAT/HOT WATER,635
2024-04-22T00:00:00.000,Illegal Parking,1471
2024-04-22T00:00:00.000,Noise - Residential,721
2024-04-22T00:00:00.000,Noise - Street/Sidewalk,331
2024-04-22T00:00:00.000,Rodent,132
2024-04-22T00:00:00.000,Street Condition,268
2024-04-23T00:00:00.000,Blocked Driveway,375
2024-04-23T00:00:00.000,Damaged Tree,48
2024-04-23T00:00:00.000,Dead/Dying Tree,39
2024-04-23T00:00:00.000,Dirty Condition,136
2024-04-23T00:00:00.000,HEAT/HOT WATER,552
2024-04-23T00:00:00.000,Illegal Fireworks,1
2024-04-23T00:00:00.000,Illegal Parking,1369
2024-04-23T00:00:00.000,Noise - Residential,662
2024-04-23T00:00:00.000,Noise - Street/Sidewalk,220
2024-04-23T00:00:00.000,Rodent,133
2024-04-23T00:00:00.000,Street Condition,294
2024-04-24T00:00:00.000,Blocked Driveway,349
2024-04-24T00:00:00.000,Damaged Tree,57
2024-04-24T00:00:00.000,Dead/Dying Tree,37
2024-04-24T00:00:00.000,Dirty Condition,119
2024-04-24T00:00:00.000,HEAT/HOT WATER,399
2024-04-24T00:00:00.000,Illegal Fireworks,1
2024-04-24T00:00:00.000,Illegal Parking,1510
2024-04-24T00:00:00.000,Noise - Residential,670
2024-04-24T00:00:00.000,Noise - Street/Sidewalk,228
2024-04-24T00:00:00.000,Rodent,111
2024-04-24T00:00:00.000,Street Condition,253
2024-04-25T00:00:00.000,Blocked Driveway,363
2024-04-25T00:00:00.000,Damaged Tree,54
2024-04-25T00:00:00.000,Dead/Dying Tree,36
2024-04-25T00:00:00.000,Dirty Condition,142
2024-04-25T00:00:00.000,HEAT/HOT WATER,732
2024-04-25T00:00:00.000,Illegal Parking,1503
2024-04-25T00:00:00.000,Noise - Residential,737
2024-04-25T00:00:00.000,Noise - Street/Sidewalk,215
2024-04-25T00:00:00.000,Rodent,120
2024-04-25T00:00:00.000,Street Condition,247
2024-04-26T00:00:00.000,Blocked Driveway,365
2024-04-26T00:00:00.000,Damaged Tree,39
2024-04-26T00:00:00.000,Dead/Dying Tree,31
2024-04-26T00:00:00.000,Dirty Condition,121
2024-04-26T00:00:00.000,HEAT/HOT WATER,562
2024-04-26T00:00:00.000,Illegal Fireworks,1
2024-04-26T00:00:00.000,Illegal Parking,1304
2024-04-26T00:00:00.000,Noise - Residential,922
2024-04-26T00:00:00.000,Noise - Street/Sidewalk,279
2024-04-26T00:00:00.000,Rodent,119
2024-04-26T00:00:00.000,Street Condition,230
2024-04-27T00:00:00.000,Blocked Driveway,416
2024-04-27T00:00:00.000,Damaged Tree,24
2024-04-27T00:00:00.000,Dead/Dying Tree,16
2024-04-27T00:00:00.000,Dirty Condition,76
2024-04-27T00:00:00.000,HEAT/HOT WATER,439
2024-04-27T00:00:00.000,Illegal Fireworks,6
2024-04-27T00:00:00.000,Illegal Parking,1227
2024-04-27T00:00:00.000,Noise - Residential,1212
2024-04-27T00:00:00.000,Noise - Street/Sidewalk,346
2024-04-27T00:00:00.000,Rodent,98
2024-04-27T00:00:00.000,Street Condition,110
2024-04-28T00:00:00.000,Blocked Driveway,396
2024-04-28T00:00:00.000,Damaged Tree,33
2024-04-28T00:00:00.000,Dead/Dying Tree,19
2024-04-28T00:00:00.000,Dirty Condition,122
2024-04-28T00:00:00.000,HEAT/HOT WATER,270
2024-04-28T00:00:00.000,Illegal Fireworks,14
2024-04-28T00:00:00.000,Illegal Parking,1535
2024-04-28T00:00:00.000,Noise - Residential,1460
2024-04-28T00:00:00.000,Noise - Street/Sidewalk,972
2024-04-28T00:00:00.000,Rodent,114
2024-04-28T00:00:00.000,Street Condition,122
2024-04-29T00:00:00.000,Blocked Driveway,380
2024-04-29T00:00:00.000,Damaged Tree,64
2024-04-29T00:00:00.000,Dead/Dying Tree,41
2024-04-29T00:00:00.000,Dirty Condition,178
2024-04-29T00:00:00.000,HEAT/HOT WATER,317
2024-04-29T00:00:00.000,Illegal Fireworks,12
2024-04-29T00:00:00.000,Illegal Parking,1336
2024-04-29T00:00:00.000,Noise - Residential,988
2024-04-29T00:00:00.000,Noise - Street/Sidewalk,614
2024-04-29T00:00:00.000,Rodent,149
2024-04-29T00:00:00.000,Street Condition,271
2024-04-30T00:00:00.000,Blocked Driveway,397
2024-04-30T00:00:00.000,Damaged Tree,59
2024-04-30T00:00:00.000,Dead/Dying Tree,46
2024-04-30T00:00:00.000,Dirty Condition,165
2024-04-30T00:00:00.000,HEAT/HOT WATER,256
2024-04-30T00:00:00.000,Illegal Fireworks,11
2024-04-30T00:00:00.000,Illegal Parking,1394
2024-04-30T00:00:00.000,Noise - Residential,729
2024-04-30T00:00:00.000,Noise - Street/Sidewalk,248
2024-04-30T00:00:00.000,Rodent,139
2024-04-30T00:00:00.000,Street Condition,292
2024-05-01T00:00:00.000,Blocked Driveway,413
2024-05-01T00:00:00.000,Damaged Tree,56
2024-05-01T00:00:00.000,Dead/Dying Tree,32
2024-05-01T00:00:00.000,Dirty Condition,148
2024-05-01T00:00:00.000,HEAT/HOT WATER,253
2024-05-01T00:00:00.000,Illegal Fireworks,7
2024-05-01T00:00:00.000,Illegal Parking,1572
2024-05-01T00:00:00.000,Noise - Residential,758
2024-05-01T00:00:00.000,Noise - Street/Sidewalk,330
2024-05-01T00:00:00.000,Rodent,128
2024-05-01T00:00:00.000,Street Condition,310
2024-05-02T00:00:00.000,Blocked Driveway,416
2024-05-02T00:00:00.000,Damaged Tree,40
2024-05-02T00:00:00.000,Dead/Dying Tree,35
2024-05-02T00:00:00.000,Dirty Condition,153
2024-05-02T00:00:00.000,HEAT/HOT WATER,206
2024-05-02T00:00:00.000,Illegal Fireworks,9
2024-05-02T00:00:00.000,Illegal Parking,1545
2024-05-02T00:00:00.000,Noise - Residential,746
2024-05-02T00:00:00.000,Noise - Street/Sidewalk,514
2024-05-02T00:00:00.000,Rodent,145
2024-05-02T00:00:00.000,Street Condition,290
2024-05-03T00:00:00.000,Blocked Driveway,400
2024-05-03T00:00:00.000,Damaged Tree,53
2024-05-03T00:00:00.000,Dead/Dying Tree,49
2024-05-03T00:00:00.000,Dirty Condition,142
2024-05-03T00:00:00.000,HEAT/HOT WATER,254
2024-05-03T00:00:00.000,Illegal Fireworks,6
2024-05-03T00:00:00.000,Illegal Parking,1498
2024-05-03T00:00:00.000,Noise - Residential,915
2024-05-03T00:00:00.000,Noise - Street/Sidewalk,387
2024-05-03T00:00:00.000,Rodent,148
2024-05-03T00:00:00.000,Street Condition,254
2024-05-04T00:00:00.000,Blocked Driveway,442
2024-05-04T00:00:00.000,Damaged Tree,27
2024-05-04T00:00:00.000,Dead/Dying Tree,17
2024-05-04T00:00:00.000,Dirty Condition,110
2024-05-04T00:00:00.000,HEAT/HOT WATER,360
2024-05-04T00:00:00.000,Illegal Fireworks,1
2024-05-04T00:00:00.000,Illegal Parking,1349
2024-05-04T00:00:00.000,Noise - Residential,1490
2024-05-04T00:00:00.000,Noise - Street/Sidewalk,429
2024-05-04T00:00:00.000,Rodent,118
2024-05-04T00:00:00.000,Street Condition,105
2024-05-05T00:00:00.000,Blocked Driveway,476
2024-05-05T00:00:00.000,Damaged Tree,25
2024-05-05T00:00:00.000,Dead/Dying Tree,9
2024-05-05T00:00:00.000,Dirty Condition,102
2024-05-05T00:00:00.000,HEAT/HOT WATER,650
2024-05-05T00:00:00.000,Illegal Fireworks,17
2024-05-05T00:00:00.000,Illegal Parking,1280
2024-05-05T00:00:00.000,Noise - Residential,1266
2024-05-05T00:00:00.000,Noise - Street/Sidewalk,250
2024-05-05T00:00:00.000,Rodent,107
2024-05-05T00:00:00.000,Street Condition,116
2024-05-06T00:00:00.000,Blocked Driveway,481
2024-05-06T00:00:00.000,Damaged Tree,65
2024-05-06T00:00:00.000,Dead/Dying Tree,39
2024-05-06T00:00:00.000,Dirty Condition,188
2024-05-06T00:00:00.000,HEAT/HOT WATER,317
2024-05-06T00:00:00.000,Illegal Parking,1751
2024-05-06T00:00:00.000,Noise - Residential,753
2024-05-06T00:00:00.000,Noise - Street/Sidewalk,349
2024-05-06T00:00:00.000,Rodent,164
2024-05-06T00:00:00.000,Street Condition,305
2024-05-07T00:00:00.000,Blocked Driveway,447
2024-05-07T00:00:00.000,Damaged Tree,73
2024-05-07T00:00:00.000,Dead/Dying Tree,38
2024-05-07T00:00:00.000,Dirty Condition,184
2024-05-07T00:00:00.000,HEAT/HOT WATER,225
2024-05-07T00:00:00.000,Illegal Fireworks,2
2024-05-07T00:00:00.000,Illegal Parking,1679
2024-05-07T00:00:00.000,Noise - Residential,881
2024-05-07T00:00:00.000,Noise - Street/Sidewalk,670
2024-05-07T00:00:00.000,Rodent,149
2024-05-07T00:00:00.000,Street Condition,274
2024-05-08T00:00:00.000,Blocked Driveway,478
2024-05-08T00:00:00.000,Damaged Tree,84
2024-05-08T00:00:00.000,Dead/Dying Tree,35
2024-05-08T00:00:00.000,Dirty Condition,182
2024-05-08T00:00:00.000,HEAT/HOT WATER,192
2024-05-08T00:00:00.000,Illegal Parking,1567
2024-05-08T00:00:00.000,Noise - Residential,800
2024-05-08T00:00:00.000,Noise - Street/Sidewalk,564
2024-05-08T00:00:00.000,Rodent,125
2024-05-08T00:00:00.000,Street Condition,285
2024-05-09T00:00:00.000,Blocked Driveway,460
2024-05-09T00:00:00.000,Damaged Tree,43
2024-05-09T00:00:00.000,Dead/Dying Tree,68
2024-05-09T00:00:00.000,Dirty Condition,159
2024-05-09T00:00:00.000,HEAT/HOT WATER,158
2024-05-09T00:00:00.000,Illegal Fireworks,2
2024-05-09T00:00:00.000,Illegal Parking,1588
2024-05-09T00:00:00.000,Noise - Residential,711
2024-05-09T00:00:00.000,Noise - Street/Sidewalk,400
2024-05-09T00:00:00.000,Rodent,159
2024-05-09T00:00:00.000,Street Condition,262
2024-05-10T00:00:00.000,Blocked Driveway,494
2024-05-10T00:00:00.000,Damaged Tree,88
2024-05-10T00:00:00.000,Dead/Dying Tree,23
2024-05-10T00:00:00.000,Dirty Condition,97
2024-05-10T00:00:00.000,HEAT/HOT WATER,392
2024-05-10T00:00:00.000,Illegal Fireworks,2
2024-05-10T00:00:00.000,Illegal Parking,1379
2024-05-10T00:00:00.000,Noise - Residential,800
2024-05-10T00:00:00.000,Noise - Street/Sidewalk,162
2024-05-10T00:00:00.000,Rodent,125
2024-05-10T00:00:00.000,Street Condition,197
2024-05-11T00:00:00.000,Blocked Driveway,442
2024-05-11T00:00:00.000,Damaged Tree,32
2024-05-11T00:00:00.000,Dead/Dying Tree,12
2024-05-11T00:00:00.000,Dirty Condition,95
2024-05-11T00:00:00.000,HEAT/HOT WATER,326
2024-05-11T00:00:00.000,Illegal Fireworks,9
2024-05-11T00:00:00.000,Illegal Parking,1287
2024-05-11T00:00:00.000,Noise - Residential,1530
2024-05-11T00:00:00.000,Noise - Street/Sidewalk,480
2024-05-11T00:00:00.000,Rodent,110
2024-05-11T00:00:00.000,Street Condition,127
2024-05-12T00:00:00.000,Blocked Driveway,461
2024-05-12T00:00:00.000,Damaged Tree,38
2024-05-12T00:00:00.000,Dead/Dying Tree,7
2024-05-12T00:00:00.000,Dirty Condition,95
2024-05-12T00:00:00.000,HEAT/HOT WATER,531
2024-05-12T00:00:00.000,Illegal Fireworks,10
2024-05-12T00:00:00.000,Illegal Parking,1320
2024-05-12T00:00:00.000,Noise - Residential,1420
2024-05-12T00:00:00.000,Noise - Street/Sidewalk,411
2024-05-12T00:00:00.000,Rodent,70
2024-05-12T00:00:00.000,Street Condition,123
2024-05-13T00:00:00.000,Blocked Driveway,488
2024-05-13T00:00:00.000,Damaged Tree,66
2024-05-13T00:00:00.000,Dead/Dying Tree,45
2024-05-13T00:00:00.000,Dirty Condition,202
2024-05-13T00:00:00.000,HEAT/HOT WATER,361
2024-05-13T00:00:00.000,Illegal Fireworks,7
2024-05-13T00:00:00.000,Illegal Parking,1660
2024-05-13T00:00:00.000,Noise - Residential,827
2024-05-13T00:00:00.000,Noise - Street/Sidewalk,339
2024-05-13T00:00:00.000,Rodent,131
2024-05-13T00:00:00.000,Street Condition,304
2024-05-14T00:00:00.000,Blocked Driveway,437
2024-05-14T00:00:00.000,Damaged Tree,67
2024-05-14T00:00:00.000,Dead/Dying Tree,41
2024-05-14T00:00:00.000,Dirty Condition,196
2024-05-14T00:00:00.000,HEAT/HOT WATER,201
2024-05-14T00:00:00.000,Illegal Parking,1678
2024-05-14T00:00:00.000,Noise - Residential,638
2024-05-14T00:00:00.000,Noise - Street/Sidewalk,339
2024-05-14T00:00:00.000,Rodent,183
2024-05-14T00:00:00.000,Street Condition,293
2024-05-15T00:00:00.000,Blocked Driveway,487
2024-05-15T00:00:00.000,Damaged Tree,70
2024-05-15T00:00:00.000,Dead/Dying Tree,19
2024-05-15T00:00:00.000,Dirty Condition,131
2024-05-15T00:00:00.000,HEAT/HOT WATER,180
2024-05-15T00:00:00.000,Illegal Parking,1269
2024-05-15T00:00:00.000,Noise - Residential,631
2024-05-15T00:00:00.000,Noise - Street/Sidewalk,152
2024-05-15T00:00:00.000,Rodent,145
2024-05-15T00:00:00.000,Street Condition,294
2024-05-16T00:00:00.000,Blocked Driveway,485
2024-05-16T00:00:00.000,Damaged Tree,201
2024-05-16T00:00:00.000,Dead/Dying Tree,33
2024-05-16T00:00:00.000,Dirty Condition,153
2024-05-16T00:00:00.000,HEAT/HOT WATER,219
2024-05-16T00:00:00.000,Illegal Parking,1540
2024-05-16T00:00:00.000,Noise - Residential,756
2024-05-16T00:00:00.000,Noise - Street/Sidewalk,271
2024-05-16T00:00:00.000,Rodent,164
2024-05-16T00:00:00.000,Street Condition,265
2024-05-17T00:00:00.000,Blocked Driveway,462
2024-05-17T00:00:00.000,Damaged Tree,130
2024-05-17T00:00:00.000,Dead/Dying Tree,43
2024-05-17T00:00:00.000,Dirty Condition,174
2024-05-17T00:00:00.000,HEAT/HOT WATER,157
2024-05-17T00:00:00.000,Illegal Fireworks,7
2024-05-17T00:00:00.000,Illegal Parking,1773
2024-05-17T00:00:00.000,Noise - Residential,1024
2024-05-17T00:00:00.000,Noise - Street/Sidewalk,612
2024-05-17T00:00:00.000,Rodent,161
2024-05-17T00:00:00.000,Street Condition,241
2024-05-18T00:00:00.000,Blocked Driveway,403
2024-05-18T00:00:00.000,Damaged Tree,49
2024-05-18T00:00:00.000,Dead/Dying Tree,19
2024-05-18T00:00:00.000,Dirty Condition,143
2024-05-18T00:00:00.000,HEAT/HOT WATER,116
2024-05-18T00:00:00.000,Illegal Fireworks,7
2024-05-18T00:00:00.000,Illegal Parking,1243
2024-05-18T00:00:00.000,Noise - Residential,1502
2024-05-18T00:00:00.000,Noise - Street/Sidewalk,655
2024-05-18T00:00:00.000,Rodent,91
2024-05-18T00:00:00.000,Street Condition,152
2024-05-19T00:00:00.000,Blocked Driveway,454
2024-05-19T00:00:00.000,Damaged Tree,32
2024-05-19T00:00:00.000,Dead/Dying Tree,29
2024-05-19T00:00:00.000,Dirty Condition,151
2024-05-19T00:00:00.000,HEAT/HOT WATER,139
2024-05-19T00:00:00.000,Illegal Fireworks,16
2024-05-19T00:00:00.000,Illegal Parking,1657
2024-05-19T00:00:00.000,Noise - Residential,1573
2024-05-19T00:00:00.000,Noise - Street/Sidewalk,908
2024-05-19T00:00:00.000,Rodent,117
2024-05-19T00:00:00.000,Street Condition,121
2024-05-20T00:00:00.000,Blocked Driveway,518
2024-05-20T00:00:00.000,Damaged Tree,99
2024-05-20T00:00:00.000,Dead/Dying Tree,51
2024-05-20T00:00:00.000,Dirty Condition,221
2024-05-20T00:00:00.000,HEAT/HOT WATER,174
2024-05-20T00:00:00.000,Illegal Fireworks,7
2024-05-20T00:00:00.000,Illegal Parking,1680
2024-05-20T00:00:00.000,Noise - Residential,747
2024-05-20T00:00:00.000,Noise - Street/Sidewalk,466
2024-05-20T00:00:00.000,Rodent,168
2024-05-20T00:00:00.000,Street Condition,243
2024-05-21T00:00:00.000,Blocked Driveway,442
2024-05-21T00:00:00.000,Damaged Tree,75
2024-05-21T00:00:00.000,Dead/Dying Tree,47
2024-05-21T00:00:00.000,Dirty Condition,197
2024-05-21T00:00:00.000,HEAT/HOT WATER,152
2024-05-21T00:00:00.000,Illegal Fireworks,4
2024-05-21T00:00:00.000,Illegal Parking,1703
2024-05-21T00:00:00.000,Noise - Residential,720
2024-05-21T00:00:00.000,Noise - Street/Sidewalk,471
2024-05-21T00:00:00.000,Rodent,159
2024-05-21T00:00:00.000,Street Condition,267
2024-05-22T00:00:00.000,Blocked Driveway,449
2024-05-22T00:00:00.000,Damaged Tree,92
2024-05-22T00:00:00.000,Dead/Dying Tree,65
2024-05-22T00:00:00.000,Dirty Condition,162
2024-05-22T00:00:00.000,HEAT/HOT WATER,113
2024-05-22T00:00:00.000,Illegal Fireworks,10
2024-05-22T00:00:00.000,Illegal Parking,1583
2024-05-22T00:00:00.000,Noise - Residential,697
2024-05-22T00:00:00.000,Noise - Street/Sidewalk,575
2024-05-22T00:00:00.000,Rodent,176
2024-05-22T00:00:00.000,Street Condition,336
2024-05-23T00:00:00.000,Blocked Driveway,429
2024-05-23T00:00:00.000,Damaged Tree,106
2024-05-23T00:00:00.000,Dead/Dying Tree,56
2024-05-23T00:00:00.000,Dirty Condition,167
2024-05-23T00:00:00.000,HEAT/HOT WATER,80
2024-05-23T00:00:00.000,Illegal Fireworks,5
2024-05-23T00:00:00.000,Illegal Parking,1494
2024-05-23T00:00:00.000,Noise - Residential,598
2024-05-23T00:00:00.000,Noise - Street/Sidewalk,437
2024-05-23T00:00:00.000,Rodent,154
2024-05-23T00:00:00.000,Street Condition,286
2024-05-24T00:00:00.000,Blocked Driveway,466
2024-05-24T00:00:00.000,Damaged Tree,97
2024-05-24T00:00:00.000,Dead/Dying Tree,39
2024-05-24T00:00:00.000,Dirty Condition,172
2024-05-24T00:00:00.000,HEAT/HOT WATER,96
2024-05-24T00:00:00.000,Illegal Fireworks,14
2024-05-24T00:00:00.000,Illegal Parking,1458
2024-05-24T00:00:00.000,Noise - Residential,907
2024-05-24T00:00:00.000,Noise - Street/Sidewalk,813
2024-05-24T00:00:00.000,Rodent,134
2024-05-24T00:00:00.000,Street Condition,239
2024-05-25T00:00:00.000,Blocked Driveway,376
2024-05-25T00:00:00.000,Damaged Tree,67
2024-05-25T00:00:00.000,Dead/Dying Tree,19
2024-05-25T00:00:00.000,Dirty Condition,106
2024-05-25T00:00:00.000,HEAT/HOT WATER,115
2024-05-25T00:00:00.000,Illegal Fireworks,41
2024-05-25T00:00:00.000,Illegal Parking,1253
2024-05-25T00:00:00.000,Noise - Residential,1538
2024-05-25T00:00:00.000,Noise - Street/Sidewalk,942
2024-05-25T00:00:00.000,Rodent,84
2024-05-25T00:00:00.000,Street Condition,118
2024-05-26T00:00:00.000,Blocked Driveway,409
2024-05-26T00:00:00.000,Damaged Tree,66
2024-05-26T00:00:00.000,Dead/Dying Tree,16
2024-05-26T00:00:00.000,Dirty Condition,121
2024-05-26T00:00:00.000,HEAT/HOT WATER,116
2024-05-26T00:00:00.000,Illegal Fireworks,69
2024-05-26T00:00:00.000,Illegal Parking,1159
2024-05-26T00:00:00.000,Noise - Residential,1845
2024-05-26T00:00:00.000,Noise - Street/Sidewalk,1271
2024-05-26T00:00:00.000,Rodent,94
2024-05-26T00:00:00.000,Street Condition,110
2024-05-27T00:00:00.000,Blocked Driveway,394
2024-05-27T00:00:00.000,Damaged Tree,112
2024-05-27T00:00:00.000,Dead/Dying Tree,13
2024-05-27T00:00:00.000,Dirty Condition,149
2024-05-27T00:00:00.000,HEAT/HOT WATER,157
2024-05-27T00:00:00.000,Illegal Fireworks,50
2024-05-27T00:00:00.000,Illegal Parking,1120
2024-05-27T00:00:00.000,Noise - Residential,1067
2024-05-27T00:00:00.000,Noise - Street/Sidewalk,478
2024-05-27T00:00:00.000,Rodent,91
2024-05-27T00:00:00.000,Street Condition,153
2024-05-28T00:00:00.000,Blocked Driveway,509
2024-05-28T00:00:00.000,Damaged Tree,171
2024-05-28T00:00:00.000,Dead/Dying Tree,60
2024-05-28T00:00:00.000,Dirty Condition,247
2024-05-28T00:00:00.000,HEAT/HOT WATER,156
2024-05-28T00:00:00.000,Illegal Fireworks,10
2024-05-28T00:00:00.000,Illegal Parking,1649
2024-05-28T00:00:00.000,Noise - Residential,588
2024-05-28T00:00:00.000,Noise - Street/Sidewalk,383
2024-05-28T00:00:00.000,Rodent,188
2024-05-28T00:00:00.000,Street Condition,298
2024-05-29T00:00:00.000,Blocked Driveway,409
2024-05-29T00:00:00.000,Damaged Tree,131
2024-05-29T00:00:00.000,Dead/Dying Tree,52
2024-05-29T00:00:00.000,Dirty Condition,191
2024-05-29T00:00:00.000,HEAT/HOT WATER,163
2024-05-29T00:00:00.000,Illegal Fireworks,9
