complaint_type,dow,hour,n
HEAT/HOT WATER,6,10,4545
HEAT/HOT WATER,6,11,4232
HEAT/HOT WATER,6,12,4052
HEAT/HOT WATER,6,13,4310
HEAT/HOT WATER,6,14,3627
HEAT/HOT WATER,6,15,3647
HEAT/HOT WATER,6,16,3809
HEAT/HOT WATER,6,17,3571
HEAT/HOT WATER,6,18,3448
HEAT/HOT WATER,6,19,3437
HEAT/HOT WATER,6,2,1343
HEAT/HOT WATER,6,20,3391
HEAT/HOT WATER,6,21,3179
HEAT/HOT WATER,6,22,2809
HEAT/HOT WATER,6,23,2580
HEAT/HOT WATER,6,3,1141
HEAT/HOT WATER,6,4,1194
HEAT/HOT WATER,6,5,1286
HEAT/HOT WATER,6,6,1676
HEAT/HOT WATER,6,7,2717
HEAT/HOT WATER,6,8,4011
HEAT/HOT WATER,6,9,4491
Illegal Parking,0,0,6153
Illegal Parking,0,1,4049
Illegal Parking,0,10,8120
Illegal Parking,0,11,8130
Illegal Parking,0,12,7733
Illegal Parking,0,13,7409
Illegal Parking,0,14,7394
Illegal Parking,0,15,7314
Illegal Parking,0,16,7139
Illegal Parking,0,17,7193
Illegal Parking,0,18,7381
Illegal Parking,0,19,7417
Illegal Parking,0,2,2839
Illegal Parking,0,20,7484
Illegal Parking,0,21,9128
Illegal Parking,0,22,7965
Illegal Parking,0,23,6070
Illegal Parking,0,3,2247
Illegal Parking,0,4,2123
Illegal Parking,0,5,2310
Illegal Parking,0,6,4191
Illegal Parking,0,7,5862
Illegal Parking,0,8,7142
Illegal Parking,0,9,7836
Illegal Parking,1,0,4531
Illegal Parking,1,1,3276
Illegal Parking,1,10,8867
Illegal Parking,1,11,8818
Illegal Parking,1,12,8126
Illegal Parking,1,13,7510
Illegal Parking,1,14,6856
Illegal Parking,1,15,6483
Illegal Parking,1,16,6474
Illegal Parking,1,17,7152
Illegal Parking,1,18,7673
Illegal Parking,1,19,7030
Illegal Parking,1,2,2497
Illegal Parking,1,20,7640
Illegal Parking,1,21,8909
Illegal Parking,1,22,7795
Illegal Parking,1,23,5960
Illegal Parking,1,3,1984
Illegal Parking,1,4,2386
Illegal Parking,1,5,3278
Illegal Parking,1,6,4948
Illegal Parking,1,7,8786
Illegal Parking,1,8,10807
Illegal Parking,1,9,10388
Illegal Parking,2,0,4781
Illegal Parking,2,1,2817
Illegal Parking,2,10,8752
Illegal Parking,2,11,9141
Illegal Parking,2,12,8096
Illegal Parking,2,13,7619
Illegal Parking,2,14,7411
Illegal Parking,2,15,6469
Illegal Parking,2,16,6581
Illegal Parking,2,17,7380
Illegal Parking,2,18,7762
Illegal Parking,2,19,7208
Illegal Parking,2,2,2276
Illegal Parking,2,20,7501
Illegal Parking,2,21,8980
Illegal Parking,2,22,8216
Illegal Parking,2,23,6177
Illegal Parking,2,3,2104
Illegal Parking,2,4,2597
Illegal Parking,2,5,3477
Illegal Parking,2,6,5600
